orientador,departamento,unidade,centro,total_planos,total_vagas_remuneradas,areas_cnpq,codigos_projetos,editais,ids_oportunidades,titulos_planos
DANIELE GONCALVES BEZERRA,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,2,0.0,Medicina,PVCB5214-2026,Edital 01 Pibic Ufal 2026-2027,98380669; 98380675,"Análise estatística comparativa e sistematização de dados sobre o impacto de visitas ao laboratório de anatomia na educação básica | Apoio às ações educativas, organização de dados e análise estatística em atividades de vivência anatômica para estudantes do ensino médio e do 9º ano do ensino fundamental II"
DEBORA DE PAULA MICHELATTO,FACULDADE DE MEDICINA,FAMED,FAMED,3,3.0,Genética,PVFM5022-2026,Edital 01 Pibic Ufal 2026-2027,98380396; 98380399; 98380407,Caracterização sociodemográfica e genético-clínica em pacientes com Síndrome de Turner | Caracterização sociodemográfica e genético-clínica em pacientes com Síndrome de Marfan | Caracterização sociodemográfica e genético-clínica em pacientes com Neurofibromatose tipo 1
DIEGO DERMEVAL MEDEIROS DA CUNHA MATOS,FACULDADE DE MEDICINA,FAMED,FAMED,8,24.0,Educação,PVIC5525-2026; PVIC5508-2026,Edital 01 Pibic Ufal 2026-2027; Edital 03 Pibiti Ufal 2026-2027,98381332; 98381337; 98381339; 98381346; 98381290; 98381298; 98381302; 98381306,REVISÃO SISTEMÁTICA DA LITERATURA SOBRE FEEDBACK EM SISTEMAS TUTORES INTELIGENTES DESPLUGADOS | PERCEPÇÕES DE PROFESSORES SOBRE FEEDBACK NO ENSINO DE MATEMÁTICA NOS ANOS INICIAIS | DESIGN E DESENVOLVIMENTO DO MÓDULO DE FEEDBACK PARA SISTEMAS TUTORES INTELIGENTES DESPLUGADOS | AVALIAÇÃO DO MÓDULO DE FEEDBACK COM ESTUDANTES DO ENSINO FUNDAMENTAL DOS ANOS INICIAIS | AVALIAÇÃO PEDAGÓGICA DE QUESTÕES MATEMÁTICAS GERADAS POR LLMs LEVES PARA COMPETÊNCIAS BNCC DOS ANOS 4 E 5 | APOIO À COLETA DE DADOS DE USABILIDADE DO APLICATIVO EDUCACIONAL OFFLINE BASEADO EM LLMs LEVES | ANÁLISE COMPARATIVA DA QUALIDADE DE QUESTÕES GERADAS POR DIFERENTES LLMs LEVES EM CONTEXTO OFFLINE EDUCACIONAL | DOCUMENTAÇÃO TÉCNICA E ORGANIZAÇÃO DE DADOS DAS PESQUISAS SOBRE GERAÇÃO DE QUESTÕES COM LLMs LEVES EM CONTEXTO EDUCACIONAL OFFLINE
DIEGO FIGUEIREDO NOBREGA,FACULDADE DE MEDICINA,FAMED,FAMED,5,5.0,Saúde Coletiva; Odontologia,PVFM5532-2026; PVFM5522-2026,Edital 03 Pibiti Ufal 2026-2027; Edital 01 Pibic Ufal 2026-2027,98381606; 98381608; 98381331; 98381611; 98381617,Desigualdades em Saúde e Prevalência de Cárie Dentária em Crianças de 5 anos de idade em Alagoas | Associação entre cárie dentária e fatores sociodemográficos em adolescentes de Alagoas | Modelagem semântica e geração automatizada de indicadores de dengue no protótipo PegaSUS | Organização e harmonização de dados SINAN/DATASUS para o estudo de dengue no protótipo PegaSUS | Validação epidemiológica e análise exploratória de sinais de dengue no protótipo PegaSUS
EDUARDA CORREIA MORETTI,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,1,1.0,Medicina,PVCB4933-2026,Edital 01 Pibic Ufal 2026-2027,98380070,Tratamentos para sintomas vasomotores na perimenopausa: overview de revisões sistemáticas de ensaios clínicos randomizados
ELAINE FERNANDA DOS SANTOS,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,3,3.0,Educação,PVCB4791-2026; PVCB4713-2026,Edital 01 Pibic Ufal 2026-2027; Edital 02 Pibic Ações Afirmativas Ufal 2026-2027,98379609; 98381763; 98379784,ANÁLISE DE PROPOSTAS DIDÁTICAS COM TEMAS CONTROVERSOS NA FORMAÇÃO DOCENTE NO ENSINO DE CIÊNCIAS E BIOLOGIA | CONCEPÇÕES DE LICENCIANDOS EM CIÊNCIAS BIOLÓGICAS SOBRE TEMAS CONTROVERSOS E SUAS IMPLICAÇÕES PARA A FORMAÇÃO INICIAL | Inteligência Artificial generativa e personalização do ensino de Ciências e Biologia
EMILIANO DE OLIVEIRA BARRETO,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,2,4.0,Farmacologia,PVCB5335-2026,Edital 01 Pibic Ufal 2026-2027,98380915; 98380922,Caracterização do potencial anti-inflamatório do uvaol na resposta de monócitos estimulados por lipopolissacarídeo (LPS) in vitro | Investigar em células epiteliais A549 os efeitos do uvaol sobre a resposta pró-fibrótica in vitro
ENIO JOSE BASSI,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,2,2.0,Farmácia,PVCB5474-2026,Edital 01 Pibic Ufal 2026-2027,98381185; 98381200,Efeito de constituintes da própolis vermelha brasileira sobre vias de sinalização envolvidas na resposta inflamatória em macrófagos | Modulação da ativação e da resposta inflamatória de macrófagos humanos de perfil M1 por flavonoides da própolis vermelha brasileira
EWERTON AMORIM DOS SANTOS,FACULDADE DE MEDICINA,FAMED,FAMED,2,0.0,Medicina,PVFM5600-2026,Edital 01 Pibic Ufal 2026-2027,98381525; 98381528,Estimativa da Associação entre Distância Rodoviária e Taxa Municipal de Angioplastia Coronariana de Urgência em Alagoas | Avaliação de Confundidores na Associação entre Distância e Mortalidade por IAM Voltados à Atenção Primária
FERNANDA CRISTINA DE ALBUQUERQUE MARANHAO,INSTITUTO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,ICBS,ICBS,3,0.0,Microbiologia,PVCB5433-2026; PVCB5660-2026,Edital 03 Pibiti Ufal 2026-2027; Edital 01 Pibic Ufal 2026-2027,98381734; 98381713; 98381747,Avaliação clínica da eficácia de dermocosmético micomedicinal em pacientes com psoríase vulgar | Desenvolvimento e validação laboratorial de formulação dermocosmética com cogumelo medicinal | Desenvolvimento e avaliação de blend dermocosmético micomedicinal com própolis vermelha de Alagoas
