model_id,entity_type,entity_id,space,topic_id,weight,analyzed_at
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,7,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,8,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,9,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,10,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,11,0.0010773742689254406,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,12,0.9989226257310746,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4713-2026,domain,13,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,0,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,1,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,2,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,3,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,4,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,5,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,6,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,7,0.0011727716031370004,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,8,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,9,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,10,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,11,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,12,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4755-2026,domain,13,0.998827228396863,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,0,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,1,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,2,0.9997806991929534,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,3,0.0,2026-09-04T06:34:12+00:00
semv2-efe88180e47a6fc1,project,PVCB4778-2026,domain,4,0.00021930080704651774,2026-09-04T06:34:12+00:00
