entity_type,entity_id,topic_id,weight,analyzed_at
opportunity,98379607,11,0.0,2026-09-04T06:34:12+00:00
opportunity,98379607,12,0.0,2026-09-04T06:34:12+00:00
opportunity,98379607,13,0.0,2026-09-04T06:34:12+00:00
opportunity,98379608,0,0.0,2026-09-04T06:34:12+00:00
opportunity,98379608,1,0.0,2026-09-04T06:34:12+00:00
opportunity,98379608,2,0.0,2026-09-04T06:34:12+00:00
opportunity,98379608,3,0.0,2026-09-04T06:34:12+00:00
opportunity,98379608,4,0.0,2026-09-04T06:34:12+00:00
opportunity,98379608,5,0.9674935548209459,2026-09-04T06:34:12+00:00
opportunity,98379608,6,0.0,2026-09-04T06:34:12+00:00
opportunity,98379608,7,0.0325064451790542,2026-09-04T06:34:12+00:00
opportunity,98379608,8,0.0,2026-09-04T06:34:12+00:00
opportunity,98379608,9,0.0,2026-09-04T06:34:12+00:00
opportunity,98379608,10,0.0,2026-09-04T06:34:12+00:00
opportunity,98379608,11,0.0,2026-09-04T06:34:12+00:00
opportunity,98379608,12,0.0,2026-09-04T06:34:12+00:00
opportunity,98379608,13,0.0,2026-09-04T06:34:12+00:00
opportunity,98379609,0,0.0,2026-09-04T06:34:12+00:00
opportunity,98379609,1,0.0,2026-09-04T06:34:12+00:00
opportunity,98379609,2,0.0,2026-09-04T06:34:12+00:00
opportunity,98379609,3,0.0,2026-09-04T06:34:12+00:00
opportunity,98379609,4,0.0,2026-09-04T06:34:12+00:00
opportunity,98379609,5,0.0,2026-09-04T06:34:12+00:00
opportunity,98379609,6,0.0,2026-09-04T06:34:12+00:00
opportunity,98379609,7,0.0,2026-09-04T06:34:12+00:00
opportunity,98379609,8,0.0,2026-09-04T06:34:12+00:00
opportunity,98379609,9,0.0,2026-09-04T06:34:12+00:00
opportunity,98379609,10,0.0,2026-09-04T06:34:12+00:00
opportunity,98379609,11,0.0,2026-09-04T06:34:12+00:00
opportunity,98379609,12,1.0,2026-09-04T06:34:12+00:00
opportunity,98379609,13,0.0,2026-09-04T06:34:12+00:00
opportunity,98379631,0,0.0,2026-09-04T06:34:12+00:00
opportunity,98379631,1,0.0,2026-09-04T06:34:12+00:00
opportunity,98379631,2,0.03616668797545114,2026-09-04T06:34:12+00:00
opportunity,98379631,3,0.0,2026-09-04T06:34:12+00:00
opportunity,98379631,4,0.0,2026-09-04T06:34:12+00:00
opportunity,98379631,5,0.8992117638032386,2026-09-04T06:34:12+00:00
opportunity,98379631,6,0.0,2026-09-04T06:34:12+00:00
opportunity,98379631,7,0.06462154822131023,2026-09-04T06:34:12+00:00
opportunity,98379631,8,0.0,2026-09-04T06:34:12+00:00
opportunity,98379631,9,0.0,2026-09-04T06:34:12+00:00
opportunity,98379631,10,0.0,2026-09-04T06:34:12+00:00
opportunity,98379631,11,0.0,2026-09-04T06:34:12+00:00
opportunity,98379631,12,0.0,2026-09-04T06:34:12+00:00
opportunity,98379631,13,0.0,2026-09-04T06:34:12+00:00
opportunity,98379632,0,0.0,2026-09-04T06:34:12+00:00
opportunity,98379632,1,0.0,2026-09-04T06:34:12+00:00
opportunity,98379632,2,0.015101894966049193,2026-09-04T06:34:12+00:00
opportunity,98379632,3,0.0,2026-09-04T06:34:12+00:00
