entity_type,entity_id,tfidf_similarity,lsa_similarity,bm25_similarity,combined_score,cluster_id,x,y,analyzed_at
opportunity,98380358,0.07654682617771236,0.40765813359128383,0.044090503358682184,0.3432584848189219,1,0.072698706677836,0.1140745743511074,2026-09-04T06:34:12+00:00
opportunity,98380362,0.05402210064569425,0.2771289933944945,0.020980735586829703,0.4797889686497282,10,-0.014531503548218612,-0.050421639287687475,2026-09-04T06:34:12+00:00
opportunity,98380368,0.049590675236494824,0.1839471090680277,0.04571226727887315,0.27453470797523544,3,0.11664838155996667,0.15432364348642943,2026-09-04T06:34:12+00:00
opportunity,98380371,0.06927568369233464,0.22926592580111385,0.02652912733283503,0.2861289521276976,1,0.22818894857919544,0.0534916026926673,2026-09-04T06:34:12+00:00
opportunity,98380374,0.05589336984457051,0.1840451784024393,0.037006384098424897,0.2580404072615087,3,0.11664838155996667,0.15432364348642943,2026-09-04T06:34:12+00:00
opportunity,98380376,0.07022497588819163,0.23106088755775203,0.026135855857886085,0.2867124714687456,1,0.22818894857919544,0.0534916026926673,2026-09-04T06:34:12+00:00
opportunity,98380389,0.0861844743148346,0.38193137255632637,0.13397934302362902,0.39822718797861084,6,0.0051120493500318755,-0.16512358402021182,2026-09-04T06:34:12+00:00
opportunity,98380396,0.0987910844711375,0.3136628977846687,0.1816705825420638,0.48310029973837865,0,0.010033924021593258,-0.0639673668118466,2026-09-04T06:34:12+00:00
opportunity,98380398,0.057767455441352755,0.20780874862515405,0.15370058288986196,0.3266659668467365,3,0.0027926628723097023,0.14513541417004636,2026-09-04T06:34:12+00:00
opportunity,98380399,0.08968639042015661,0.30424019588653134,0.15719630237849452,0.46169025429784494,0,0.010033924021593258,-0.0639673668118466,2026-09-04T06:34:12+00:00
opportunity,98380401,0.06059269045498535,0.2102944893738328,0.22712049500780992,0.34437768489492626,3,0.0027926628723097023,0.14513541417004636,2026-09-04T06:34:12+00:00
opportunity,98380407,0.08953876510454153,0.3032802334917388,0.13851282605074128,0.4653478677772754,0,0.010033924021593258,-0.0639673668118466,2026-09-04T06:34:12+00:00
opportunity,98380421,0.07386747887643842,0.2812126080612341,0.017452519040270165,0.4661522582704465,10,-0.11446372845609139,-0.150813628077862,2026-09-04T06:34:12+00:00
opportunity,98380424,0.09715847126099679,0.4094888712690973,0.097050303155368,0.6142294020342801,10,-0.11446372845609139,-0.150813628077862,2026-09-04T06:34:12+00:00
opportunity,98380434,0.07882583909121851,0.31298847302279026,0.13203218085853793,0.44743072186110167,10,-0.11446372845609139,-0.150813628077862,2026-09-04T06:34:12+00:00
opportunity,98380439,0.07644421611390967,0.30691170943496643,0.1080591506303252,0.531963184512882,10,-0.11446372845609139,-0.150813628077862,2026-09-04T06:34:12+00:00
opportunity,98380453,0.07621724135028166,0.3585529970018291,0.029743054367747424,0.6323695768718123,2,-0.01967161242908344,-0.19333887632661412,2026-09-04T06:34:12+00:00
opportunity,98380458,0.07949729145498313,0.3104004903734178,0.11836052778792865,0.4397722701816269,2,-0.01967161242908344,-0.19333887632661412,2026-09-04T06:34:12+00:00
opportunity,98380478,0.08269001063875434,0.2678919191900996,0.07632970385397882,0.3326707092044515,11,0.16879685888757553,0.08566906741703603,2026-09-04T06:34:12+00:00
opportunity,98380502,0.06971336224101617,0.3465508934856669,0.05532647445752326,0.5054226818932701,1,0.14080884716719555,-0.12673063699898734,2026-09-04T06:34:12+00:00
opportunity,98380506,0.07672640903525106,0.3100845288243501,0.10079483476233497,0.32805922734277654,1,0.14080884716719555,-0.12673063699898734,2026-09-04T06:34:12+00:00
opportunity,98380507,0.05047363517094887,0.21999879230694333,0.02209488111571061,0.2701025634207139,1,0.14080884716719555,-0.12673063699898734,2026-09-04T06:34:12+00:00
opportunity,98380509,0.06993496988390803,0.26114866483808136,0.0876577876108975,0.3536508169228553,1,0.14080884716719555,-0.12673063699898734,2026-09-04T06:34:12+00:00
opportunity,98380514,0.1270207385627236,0.42048729476373337,0.7252547078990795,0.6310613015095878,0,-0.011584916405849448,-0.09779527795618999,2026-09-04T06:34:12+00:00
opportunity,98380516,0.0517380151569166,0.22243039202948542,0.030428836717734154,0.25778440267289615,3,0.021799154088570916,0.05672034358489402,2026-09-04T06:34:12+00:00
opportunity,98380517,0.11829669117167235,0.4552225107617916,0.6556728554368912,0.5326924575346735,0,-0.011584916405849448,-0.09779527795618999,2026-09-04T06:34:12+00:00
opportunity,98380522,0.07749334339883716,0.26888131004434135,0.07997595405783359,0.34485388750094637,11,0.1915493893357152,0.09309623430386106,2026-09-04T06:34:12+00:00
