id_opportunity,status,raw_status,applied_at,synced_at
98379597,applied,applied,2026-09-02T23:31:18.260379,2026-09-04T05:11:57+00:00
98379593,applied,applied,2026-09-02T23:31:26.632113,2026-09-04T05:11:57+00:00
98380421,applied,applied,2026-09-02T23:31:34.305964,2026-09-04T05:11:57+00:00
98380424,applied,applied,2026-09-02T23:32:04.990914,2026-09-04T05:11:57+00:00
98380434,applied,applied,2026-09-02T23:32:13.550114,2026-09-04T05:11:57+00:00
98380439,applied,applied,2026-09-02T23:32:21.769981,2026-09-04T05:11:57+00:00
98380453,applied,applied,2026-09-02T23:32:29.937168,2026-09-04T05:11:57+00:00
98381517,applied,applied,2026-09-02T23:32:38.205831,2026-09-04T05:11:57+00:00
98381519,applied,applied,2026-09-02T23:32:46.913981,2026-09-04T05:11:57+00:00
98380458,applied,applied,2026-09-02T23:32:55.214884,2026-09-04T05:11:57+00:00
98380398,applied,applied,2026-09-02T23:33:03.418111,2026-09-04T05:11:57+00:00
98380401,applied,applied,2026-09-02T23:33:12.273984,2026-09-04T05:11:57+00:00
98380703,applied,applied,confirmed_on_sigaa,2026-09-04T05:11:57+00:00
98379750,applied,applied,2026-09-02T23:33:24.623594,2026-09-04T05:11:57+00:00
98379754,applied,applied,2026-09-02T23:33:32.822232,2026-09-04T05:11:57+00:00
98379760,applied,applied,2026-09-02T23:33:41.125005,2026-09-04T05:11:57+00:00
98379762,applied,applied,2026-09-02T23:33:49.290998,2026-09-04T05:11:57+00:00
98379771,applied,applied,2026-09-02T23:33:57.237373,2026-09-04T05:11:57+00:00
98380038,applied,applied,2026-09-02T23:34:05.427361,2026-09-04T05:11:57+00:00
98380057,applied,applied,2026-09-02T23:34:14.373235,2026-09-04T05:11:57+00:00
98380062,applied,applied,2026-09-02T23:34:22.022747,2026-09-04T05:11:57+00:00
98380335,applied,applied,2026-09-02T23:34:29.848504,2026-09-04T05:11:57+00:00
98380336,applied,applied,2026-09-02T23:34:38.004662,2026-09-04T05:11:57+00:00
98380337,applied,applied,2026-09-02T23:34:45.859477,2026-09-04T05:11:57+00:00
98380340,applied,applied,2026-09-02T23:34:54.080379,2026-09-04T05:11:57+00:00
98381472,applied,applied,2026-09-02T23:35:01.853168,2026-09-04T05:11:57+00:00
