table_name,column_name,data_type,is_nullable,ordinal_position
sigaa_public_lattes_documents,source_system,VARCHAR,YES,3
sigaa_public_lattes_documents,update_date,VARCHAR,YES,4
sigaa_public_lattes_documents,update_time,VARCHAR,YES,5
sigaa_public_lattes_documents,raw_object_path,VARCHAR,YES,6
sigaa_public_lattes_documents,raw_json_path,VARCHAR,YES,7
sigaa_public_lattes_documents,normalized_json_path,VARCHAR,YES,8
sigaa_public_lattes_documents,curriculo_json,VARCHAR,YES,9
sigaa_public_lattes_documents,parse_error,VARCHAR,YES,10
sigaa_public_lattes_flat,siape,VARCHAR,YES,1
sigaa_public_lattes_flat,lattes_id,VARCHAR,YES,2
sigaa_public_lattes_flat,path,VARCHAR,YES,3
sigaa_public_lattes_flat,value_type,VARCHAR,YES,4
sigaa_public_lattes_flat,value_text,VARCHAR,YES,5
sigaa_public_links,siape,VARCHAR,YES,1
sigaa_public_links,page_type,VARCHAR,YES,2
sigaa_public_links,source_url,VARCHAR,YES,3
sigaa_public_links,link_index,BIGINT,YES,4
sigaa_public_links,text,VARCHAR,YES,5
sigaa_public_links,href_raw,VARCHAR,YES,6
sigaa_public_links,href_abs,VARCHAR,YES,7
sigaa_public_links,title,VARCHAR,YES,8
sigaa_public_links,attrs_json,VARCHAR,YES,9
sigaa_public_pages,siape,VARCHAR,YES,1
sigaa_public_pages,page_type,VARCHAR,YES,2
sigaa_public_pages,detail_depth,BIGINT,YES,3
sigaa_public_pages,url,VARCHAR,YES,4
sigaa_public_pages,title,VARCHAR,YES,5
sigaa_public_pages,professor_name,VARCHAR,YES,6
sigaa_public_pages,department,VARCHAR,YES,7
sigaa_public_pages,status,VARCHAR,YES,8
sigaa_public_pages,visible_text,VARCHAR,YES,9
sigaa_public_pages,raw_path,VARCHAR,YES,10
sigaa_public_professors,siape,VARCHAR,YES,1
sigaa_public_professors,name,VARCHAR,YES,2
sigaa_public_professors,department,VARCHAR,YES,3
sigaa_public_professors,status,VARCHAR,YES,4
sigaa_public_professors,profile_url,VARCHAR,YES,5
sigaa_public_professors,photo_url,VARCHAR,YES,6
sigaa_public_professors,lattes_id,VARCHAR,YES,7
sigaa_public_professors,lattes_update_date,VARCHAR,YES,8
sigaa_public_professors,lattes_update_time,VARCHAR,YES,9
sigaa_public_professors,professor_json_path,VARCHAR,YES,10
sigaa_public_resolution_candidates,input_index,BIGINT,YES,1
sigaa_public_resolution_candidates,input_name,VARCHAR,YES,2
sigaa_public_resolution_candidates,candidate_rank,BIGINT,YES,3
sigaa_public_resolution_candidates,siape,VARCHAR,YES,4
sigaa_public_resolution_candidates,candidate_name,VARCHAR,YES,5
sigaa_public_resolution_candidates,candidate_department,VARCHAR,YES,6
sigaa_public_resolution_candidates,profile_url,VARCHAR,YES,7
sigaa_public_resolution_candidates,score,DOUBLE,YES,8
sigaa_public_table_rows,siape,VARCHAR,YES,1
sigaa_public_table_rows,page_type,VARCHAR,YES,2
sigaa_public_table_rows,url,VARCHAR,YES,3
sigaa_public_table_rows,table_index,BIGINT,YES,4
sigaa_public_table_rows,table_caption,VARCHAR,YES,5
sigaa_public_table_rows,table_attrs_json,VARCHAR,YES,6
sigaa_public_table_rows,row_index,BIGINT,YES,7
sigaa_public_table_rows,row_attrs_json,VARCHAR,YES,8
sigaa_public_table_rows,cells_json,VARCHAR,YES,9
sigaa_public_table_rows,cell_texts_json,VARCHAR,YES,10
sigaa_public_text_nodes,siape,VARCHAR,YES,1
sigaa_public_text_nodes,page_type,VARCHAR,YES,2
sigaa_public_text_nodes,url,VARCHAR,YES,3
sigaa_public_text_nodes,node_index,BIGINT,YES,4
sigaa_public_text_nodes,text,VARCHAR,YES,5
sigaa_public_text_nodes,parent_tag,VARCHAR,YES,6
sigaa_public_text_nodes,parent_id,VARCHAR,YES,7
sigaa_public_text_nodes,parent_classes_json,VARCHAR,YES,8
sigaa_public_text_nodes,dom_path,VARCHAR,YES,9
sync_runs,run_id,VARCHAR,YES,1
sync_runs,source,VARCHAR,YES,2
sync_runs,started_at,VARCHAR,YES,3
sync_runs,finished_at,VARCHAR,YES,4
sync_runs,status,VARCHAR,YES,5
sync_runs,details_json,VARCHAR,YES,6
